t C_u^{tot} C_b^{tot} C_s^{tot} phi_i^{tot} phi_m^{tot} phi_{C_u}^{tot} phi_{C_b}^{tot} -F_{phi_i}(x=1) -F_{phi_{C_b}}(x=0) m j_{phi_i} state t_{inf}
6.400025e0 5.19791024e-1 5.76930318e0 4.85200858e-1 3.99880073e-1 1.81904294e-4 1.21980094e-4 2.01474213e-3 4.36542064e-4 1.44001607e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
6.500025e0 5.19829994e-1 5.77052238e0 4.85240979e-1 3.99878195e-1 1.84132111e-4 1.23617470e-4 2.04194190e-3 4.36541875e-4 1.45342956e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
6.600025e0 5.19865084e-1 5.77163304e0 4.85277231e-1 3.99876317e-1 1.86356355e-4 1.25247577e-4 2.06901840e-3 4.36541681e-4 1.46679863e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
6.700025e0 5.19896687e-1 5.77264490e0 4.85309997e-1 3.99874439e-1 1.88576567e-4 1.26870491e-4 2.09597243e-3 4.36541484e-4 1.48012385e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
6.800025e0 5.19925153e-1 5.77356682e0 4.85339622e-1 3.99872562e-1 1.90792320e-4 1.28486281e-4 2.12280480e-3 4.36541283e-4 1.49340572e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
6.900025e0 5.19950795e-1 5.77440684e0 4.85366415e-1 3.99870685e-1 1.93003221e-4 1.30095012e-4 2.14951627e-3 4.36541078e-4 1.50664465e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
7.000025e0 5.19973898e-1 5.77517230e0 4.85390655e-1 3.99868808e-1 1.95208902e-4 1.31696745e-4 2.17610756e-3 4.36540871e-4 1.51984099e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
7.100025e0 5.19994714e-1 5.77586987e0 4.85412593e-1 3.99866931e-1 1.97409026e-4 1.33291538e-4 2.20257938e-3 4.36540661e-4 1.53299504e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
7.200025e0 5.20013472e-1 5.77650560e0 4.85432454e-1 3.99865054e-1 1.99603279e-4 1.34879442e-4 2.22893242e-3 4.36540449e-4 1.54610702e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
7.300025e0 5.20030377e-1 5.77708502e0 4.85450439e-1 3.99863178e-1 2.01791374e-4 1.36460507e-4 2.25516733e-3 4.36540235e-4 1.55917713e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
